ISO 26262-1:2018 1;IEC 61508-2:2010 F.2;6.124380252943528
ISO 26262-1:2018 1;IEC 61508-1:2010 A.1;5.972957632220372
ISO 26262-1:2018 1;IEC 61508-4:2010 1.1;5.926870022386704
ISO 26262-1:2018 2;IEC 61508-2:2010 2;3.6343631352705383
ISO 26262-1:2018 2;IEC 61508-2:2010 D.2.2;3.3494459339412876
ISO 26262-1:2018 2;IEC 61508-3:2010 8;3.259548550694885
ISO 26262-1:2018 3.1;IEC 61508-3:2010 D.3.1;0.7046916110017907
ISO 26262-1:2018 3.1;IEC 61508-3:2010 4;0.7002424534306294
ISO 26262-1:2018 3.1;IEC 61508-1:2010 A.3;0.6987455813056019
ISO 26262-1:2018 3.2;IEC 61508-2:2010 7.4.4.2.4;0.8003105144368705
ISO 26262-1:2018 3.2;IEC 61508-5:2010 A.4;0.781183303796952
ISO 26262-1:2018 3.2;IEC 61508-2:2010 7.4.4.2.3;0.7744615759360338
ISO 26262-1:2018 3.3;IEC 61508-4:2010 3.2.15;1.6377538060494556
ISO 26262-1:2018 3.3;IEC 61508-2:2010 7.4.2.11;0.9599123627631359
ISO 26262-1:2018 3.3;IEC 61508-3:2010 4;0.9116908270479652
ISO 26262-1:2018 3.4;IEC 61508-2:2010 7.4.10.1;0.7212943238120725
ISO 26262-1:2018 3.4;IEC 61508-7:2010 C.2.10.2;0.7146695021255831
ISO 26262-1:2018 3.4;IEC 61508-3:2010 A;0.7133113138369874
ISO 26262-1:2018 3.5;IEC 61508-2:2010 F.2;0.6534711456883134
ISO 26262-1:2018 3.5;IEC 61508-7:2010 C.2.1.1;0.6515255745905962
ISO 26262-1:2018 3.5;IEC 61508-7:2010 C.5.18;0.6494884037722886
ISO 26262-1:2018 3.6;IEC 61508-4:2010 3.5.8;1.4481730675532265
ISO 26262-1:2018 3.6;IEC 61508-4:2010 3.5.10;1.435459651238864
ISO 26262-1:2018 3.7;IEC 61508-4:2010 3.6.17;1.2764087155660913
